发展	FA_T1 ZHAN_T3
制首乌	ZHI_T4 SHOU_T3 WU_T1
间使	
白垢	BAI_T2 GOU_T4
冻干人用狂犬病疫苗	
表面结构	
全能性	QUAN_T2 NENG_T2 XING_T4
临床营养学	LIN_T2 CHUANG_T2 YING_T2 YANG_T3 XUE_T2
法洛四联症	FA_T3 LUO_T4 SI_T4 LIAN_T2 ZHENG_T4
肠结核	CHANG_T2 JIE_T2 HE_T2
基因扩增	JI_T1 YIN_T1 KUO_T4 ZENG_T1
浙贝	ZHE_T4 BEI_T4
凝血酶原复合物	NING_T2 XUE_T4 MEI_T2 YUAN_T2 FU_T4 HE_T2 WU_T4
脊索	JI_T2 SUO_T3
抗原抗体	KANG_T4 YUAN_T2 KANG_T4 TI_T3
胃癌根治术	
鼓室	GU_T3 SHI_T4
唇瓣	CHUN_T2 BAN_T4
噬菌体	SHI_T4 JUN_T1 TI_T3
福格特	
间皮瘤	JIAN_T1 PI_T2 LIU_T2
黄斑水肿	HUANG_T2 BAN_T1 SHUI_T2 ZHONG_T3
生精细胞	SHENG_T1 JING_T1 XI_T4 BAO_T1
碘酊	DIAN_T2 DING_T3
新生儿坏死性小肠结肠炎	
隐睾症	YIN_T3 GAO_T1 ZHENG_T4
急性气管炎	JI_T2 XING_T4 QI_T4 GUAN_T3 YAN_T2
胸痹	XIONG_T1 BI_T4
类固醇激素	LEI_T4 GU_T4 CHUN_T2 JI_T1 SU_T4
沈琼	SHEN_T3 QIONG_T2
显性遗传	
会阴穴	HUI_T4 YIN_T1 XUE_T2
关系妄想	
类风湿因子	LEI_T4 FENG_T1 SHI_T1 YIN_T1 ZI_T3
中府	ZHONG_T1 FU_T3
白介素	BAI_T2 JIE_T4 SU_T4
异丙嗪	YI_T4 BING_T3 QIN_T2
抗狂犬病血清	
妇科用药	FU_T4 KE_T1 YONG_T4 YAO_T4
溶酶体	RONG_T2 MEI_T2 TI_T3
实验心理学	SHI_T2 YAN_T4 XIN_T1 LI_T3 XUE_T2
右美沙芬	YOU_T4 MEI_T3 SHA_T1 FEN_T1
清热药	QING_T1 RE_T4 YAO_T4
兔眼	TU_T4 YAN_T3
不规则阴道出血	
软腐病	RUAN_T2 FU_T3 BING_T4
帕罗西汀	PA_T4 LUO_T2 XI_T1 TING_T1
铁扫帚	TIE_T3 SAO_T4 ZHOU_T3
精子形成	JING_T1 ZI_T3 XING_T2 CHENG_T2
间日疟	JIAN_T4 RI_T4 NVE_T4
肾结核	SHEN_T4 JIE_T2 HE_T2
薛雪	XUE_T1 XUE_T3
颈外动脉	JING_T3 WAI_T4 DONG_T4 MAI_T4
臂丛神经	
胎动不安	TAI_T1 DONG_T4 BU_T4 AN_T1
鼻甲肥大	BI_T2 JIA_T3 FEI_T2 DA_T4
软组织肉瘤	RUAN_T2 ZU_T3 ZHI_T1 ROU_T4 LIU_T2
施今墨	SHI_T1 JIN_T1 MO_T4
质子泵	ZHI_T4 ZI_T3 BENG_T4
蛛网膜囊肿	ZHU_T1 WANG_T3 MO_T2 NANG_T2 ZHONG_T3
感冒灵颗粒	GAN_T3 MAO_T4 LING_T2 KE_T1 LI_T4
银黄颗粒	YIN_T2 HUANG_T2 KE_T1 LI_T4
复方新诺明	FU_T4 FANG_T1 XIN_T1 NUO_T4 MING_T2
二尖瓣狭窄	ER_T4 JIAN_T1 BAN_T4 XIA_T2 ZHAI_T3
抗体滴度	KANG_T4 TI_T3 DI_T1 DU_T4
六腑	LIU_T4 FU_T3
亮氨酸	LIANG_T4 AN_T1 SUAN_T1
原子吸收分光光度计	
体虚感冒	
月经史	
轴位	ZHOU_T2 WEI_T4
全秃	QUAN_T2 TU_T1
绒毛膜促性腺激素	
蜈蚣咬伤	WU_T2 GONG_T1 YAO_T3 SHANG_T1
胆盐	DAN_T3 YAN_T2
免疫复合物	
子宫肌层	
护理研究	
氟化泡沫	FU_T2 HUA_T4 PAO_T4 MO_T4
法医人类学	
湿阻	SHI_T1 ZU_T3
算术平均数	SUAN_T4 SHU_T4 PING_T2 JUN_T1 SHU_T4
小于胎龄儿	
血清白蛋白	XUE_T4 QING_T1 BAI_T2 DAN_T4 BAI_T2
电烧伤	DIAN_T4 SHAO_T1 SHANG_T1
炒麦芽	CHAO_T3 MAI_T4 YA_T2
合成酶	HE_T2 CHENG_T2 MEI_T2
红细胞增多症	HONG_T2 XI_T4 BAO_T1 ZENG_T1 DUO_T1 ZHENG_T4
冠状沟	GUAN_T1 ZHUANG_T4 GOU_T1
颈椎脱位	
润肠胶囊	RUN_T4 CHANG_T2 JIAO_T1 NANG_T2
丙型病毒性肝炎	
扶芳藤	FU_T2 FANG_T1 TENG_T2
减数分裂	JIAN_T3 SHU_T4 FEN_T1 LIE_T4
被动运动	BEI_T4 DONG_T4 YUN_T4 DONG_T4
格列美脲	GE_T2 LIE_T4 MEI_T3 NIAO_T4
洛赛克	LUO_T4 SAI_T4 KE_T4
腺泡	XIAN_T4 PAO_T4
清开灵口服液	QING_T1 KAI_T1 LING_T2 KOU_T3 FU_T2 YE_T4
植物带	ZHI_T2 WU_T4 DAI_T4
幽门梗阻	YOU_T1 MEN_T2 GENG_T2 ZU_T3
癫痫持续状态	DIAN_T1 XIAN_T2 CHI_T2 XU_T4 ZHUANG_T4 TAI_T4
髓鞘	SUI_T3 QIAO_T4
小静脉	
慢性喉炎	MAN_T4 XING_T4 HOU_T2 YAN_T2
眼内炎	YAN_T3 NEI_T4 YAN_T2
地奥心血康胶囊	DI_T4 AO_T4 XIN_T1 XUE_T4 KANG_T1 JIAO_T1 NANG_T2
非淋菌性尿道炎	FEI_T1 LIN_T2 JUN_T1 XING_T4 NIAO_T4 DAO_T4 YAN_T2
聚合酶链反应	
阿卡波糖	A_T1 KA_T3 BO_T1 TANG_T2
芳香化浊	
血清蛋白	XUE_T4 QING_T1 DAN_T4 BAI_T2
电休克	DIAN_T4 XIU_T1 KE_T4
步廊	BU_T4 LANG_T2
病毒载体	
角膜移植术	
生态群	
静脉留置针	
肋间神经痛	LEI_T4 JIAN_T1 SHEN_T2 JING_T1 TONG_T4
肝胃不和	GAN_T1 WEI_T4 BU_T4 HE_T2
阿昔洛韦	A_T1 XI_T1 LUO_T4 WEI_T2
失写症	
视网膜病	
硅凝胶	GUI_T1 NING_T2 JIAO_T1
浆细胞	JIANG_T1 XI_T4 BAO_T1
姜英	JIANG_T1 YING_T1
肝硬变	GAN_T1 YING_T4 BIAN_T4
冰糖燕窝	BING_T1 TANG_T2 YAN_T4 WO_T1
药源性疾病	
前囟	QIAN_T2 XIN_T4
炒白术	CHAO_T3 BAI_T2 SHU_T4
乳酶生	RU_T3 MEI_T2 SHENG_T1
情感性精神病	
银杏胶囊	YIN_T2 XING_T4 JIAO_T1 NANG_T2
肾单位	SHEN_T4 DAN_T1 WEI_T4
倍他乐克	BEI_T4 TA_T1 YUE_T4 KE_T4
跗骨	FU_T1 GU_T3
腺鼠疫	XIAN_T4 SHU_T3 YI_T4
阿莫西林颗粒	A_T1 MO_T4 XI_T1 LIN_T2 KE_T1 LI_T4
对比敏感度	
小柴胡汤	XIAO_T3 CHAI_T2 HU_T2 TANG_T1
法医精神病学	
重复序列	CHONG_T2 FU_T4 XU_T4 LIE_T4
拮抗作用	JIE_T2 KANG_T4 ZUO_T4 YONG_T4
迎香	YING_T2 XIANG_T1
漂白粉消毒	
荧光染料	YING_T2 GUANG_T1 RAN_T3 LIAO_T4
布鲁氏杆菌病	BU_T4 LU_T3 SHI_T4 GAN_T3 JUN_T1 BING_T4
胰十二指肠切除术	
夏科	XIA_T4 KE_T1
阴虚阳亢	YIN_T1 XU_T1 YANG_T2 KANG_T4
慢性病毒性肝炎	
砷化氢	
流式细胞仪	
苏氨酸	SU_T1 AN_T1 SUAN_T1
国际口腔种植学会	
纤维细胞	XIAN_T1 WEI_T2 XI_T4 BAO_T1
语言发育障碍	
希罗达	XI_T1 LUO_T2 DA_T2
牙齿拥挤	YA_T2 CHI_T3 YONG_T1 JI_T3
贝苗	BEI_T4 MIAO_T2
宫颈涂片	GONG_T1 JING_T3 TU_T2 PIAN_T4
临床免疫学	LIN_T2 CHUANG_T2 MIAN_T3 YI_T4 XUE_T2
喉腔	HOU_T2 QIANG_T1
蛲虫	NAO_T2 CHONG_T2
跟骨骨刺	GEN_T1 GU_T2 GU_T3 CI_T4
慢性肺源性心脏病	MAN_T4 XING_T4 FEI_T4 YUAN_T2 XING_T4 XIN_T1 ZANG_T4 BING_T4
舒筋通络	SHU_T1 JIN_T1 TONG_T1 LUO_T4
圈套器	
草珊瑚含片	
人工瓣膜	
睑缘炎	JIAN_T3 YUAN_T2 YAN_T2
温病学	WEN_T1 BING_T4 XUE_T2
筛窦	SHAI_T1 DOU_T4
聚丙烯酰胺	JU_T4 BING_T3 XI_T1 XIAN_T1 AN_T4
睾丸肿瘤	GAO_T1 WAN_T2 ZHONG_T3 LIU_T2
二倍体细胞	
紫外线灯管	
盐酸异丙嗪	YAN_T2 SUAN_T1 YI_T4 BING_T3 QIN_T2
变换器	BIAN_T4 HUAN_T4 QI_T4
骶骨骨折	DI_T2 GU_T2 GU_T3 ZHE_T2
红细胞生成素	HONG_T2 XI_T4 BAO_T1 SHENG_T1 CHENG_T2 SU_T4
玻璃体出血	
生物医学模式	
背阔肌	BEI_T4 KUO_T4 JI_T1
地奥心血康	DI_T4 AO_T4 XIN_T1 XUE_T4 KANG_T1
醒脑静注射液	
主动脉瓣狭窄	ZHU_T3 DONG_T4 MAI_T4 BAN_T4 XIA_T2 ZHAI_T3
痹证	BI_T4 ZHENG_T4
白前	BAI_T2 QIAN_T2
蒲黄	PU_T2 HUANG_T2
顶芽	DING_T3 YA_T2
特发性血小板减少性紫癜	TE_T4 FA_T4 XING_T4 XUE_T4 XIAO_T2 BAN_T3 JIAN_T2 SHAO_T3 XING_T4 ZI_T3 DIAN_T4
野生型	YE_T3 SHENG_T1 XING_T2
银翘解毒片	YIN_T2 QIAO_T2 JIE_T3 DU_T2 PIAN_T4
侧柏叶	CE_T4 BAI_T3 YE_T4
人免疫球蛋白	REN_T2 MIAN_T3 YI_T4 QIU_T2 DAN_T4 BAI_T2
生理反射	SHENG_T1 LI_T2 FAN_T3 SHE_T4
染色质	RAN_T3 SE_T4 ZHI_T4
嵌甲	QIAN_T4 JIA_T3
诊法	ZHEN_T2 FA_T3
脑干梗塞	NAO_T3 GAN_T1 GENG_T3 SE_T4
变应原	BIAN_T4 YING_T4 YUAN_T2
浅深	QIAN_T3 SHEN_T1
氨基葡萄糖	AN_T1 JI_T1 PU_T2 TAO_T2 TANG_T2
避孕器	BI_T4 YUN_T4 QI_T4
注射用夫西地酸钠	
头孢克肟	TOU_T2 BAO_T1 KE_T4 WO_T4
造影术	
革兰氏阳性菌	GE_T2 LAN_T2 SHI_T4 YANG_T2 XING_T4 JUN_T1
精神外科	
睫状体	JIE_T2 ZHUANG_T4 TI_T3
水解酶	SHUI_T2 JIE_T3 MEI_T2
阴平阳秘	YIN_T1 PING_T2 YANG_T2 MI_T4
小阴唇	XIAO_T3 YIN_T1 CHUN_T2
蒙脱石	MENG_T2 TUO_T1 SHI_T2
筛孔	SHAI_T1 KONG_T3
舒乐安定	SHU_T1 LE_T4 AN_T1 DING_T4
黄热病毒	
斜方肌	XIE_T2 FANG_T1 JI_T1
食糜	SHI_T2 MI_T2
鞘膜积液	QIAO_T4 MO_T2 JI_T1 YE_T4
臭腺	
小脑出血	XIAO_T2 NAO_T3 CHU_T1 XUE_T4
联体儿	
骶椎	DI_T3 ZHUI_T1
黄斑裂孔	HUANG_T2 BAN_T1 LIE_T4 KONG_T3
电休克治疗	DIAN_T4 XIU_T1 KE_T4 ZHI_T4 LIAO_T2
胎盘屏障	TAI_T1 PAN_T2 PING_T2 ZHANG_T4
蜡样芽胞杆菌	
神经根型颈椎病	SHEN_T2 JING_T1 GEN_T1 XING_T2 JING_T3 ZHUI_T1 BING_T4
重复肾	CHONG_T2 FU_T4 SHEN_T4
高甘油三酯血症	GAO_T1 GAN_T1 YOU_T2 SAN_T1 ZHI_T3 XIE_T3 ZHENG_T4
萘普生	NAI_T4 PU_T3 SHENG_T1
雷尼替丁	LEI_T2 NI_T2 TI_T4 DING_T1
地方性克汀病	
裂谷热	
龙鼓滩	
红外线治疗	
直肠指检	ZHI_T2 CHANG_T2 ZHI_T2 JIAN_T3
步态蹒跚	BU_T4 TAI_T4 PAN_T2 SHAN_T1
地榆	DI_T4 YU_T2
现代医学模式	
伸筋草	SHEN_T1 JIN_T1 CAO_T3
清创术	
白花油	BAI_T2 HUA_T1 YOU_T2
现存量	
脑干脑炎	NAO_T3 GAN_T1 NAO_T3 YAN_T2
菌落形成单位	
瘰疬	LUO_T3 LI_T4
眼压检查	
右丙氧芬	YOU_T4 BING_T3 YANG_T3 FEN_T1
人血清白蛋白	
七叶一枝花	QI_T1 YE_T4 YI_T4 ZHI_T1 HUA_T1
胼胝	PIAN_T2 ZHI_T1
舌骨	SHE_T2 GU_T3
少腹	SHAO_T3 FU_T4
视网膜震荡	
引流袋	YIN_T3 LIU_T2 DAI_T4
传统科学	
蛇纹石	SHE_T2 WEN_T2 SHI_T2
腮腺炎减毒活疫苗	
单体型	
前体细胞	
醋酸泼尼松	CU_T4 SUAN_T1 PO_T1 NI_T2 SONG_T1
肝郁脾虚	GAN_T1 YU_T4 PI_T2 XU_T1
小家鼠	XIAO_T3 JIA_T1 SHU_T3
视诊	SHI_T4 ZHEN_T3
盐酸林可霉素	YAN_T2 SUAN_T1 LIN_T2 KE_T3 MEI_T2 SU_T4
鼻咽炎	BI_T2 YAN_T1 YAN_T2
中肠	ZHONG_T1 CHANG_T2
亚类	YA_T4 LEI_T4
清宫术	QING_T1 GONG_T1 SHU_T4
腰痛病	
印象形成	YIN_T4 XIANG_T4 XING_T2 CHENG_T2
皮水	PI_T2 SHUI_T3
变异体	BIAN_T4 YI_T4 TI_T3
病毒血症	
补中益气丸	BU_T3 ZHONG_T1 YI_T4 QI_T4 WAN_T2
软骨瘤	RUAN_T2 GU_T3 LIU_T2
长强穴	CHANG_T2 QIANG_T2 XUE_T2
盆腔脓肿	PEN_T2 QIANG_T1 NONG_T2 ZHONG_T3
静止期	JING_T4 ZHI_T3 QI_T1
视紫红质	
根尖周炎	GEN_T1 JIAN_T1 ZHOU_T1 YAN_T2
分子识别	
利培酮	LI_T4 PEI_T2 TONG_T2
黑色素沉着	
红藻	HONG_T2 ZAO_T3
白英	BAI_T2 YING_T1
胰岛素样生长因子	
搽剂	CHA_T2 JI_T4
眼轮匝肌	YAN_T3 LUN_T2 ZA_T1 JI_T1
进动	JIN_T4 DONG_T4
肛门镜	GANG_T1 MEN_T2 JING_T4
创伤学	
细胞周期	XI_T4 BAO_T1 ZHOU_T1 QI_T1
吸根	XI_T1 GEN_T1
罗红霉素胶囊	LUO_T2 HONG_T2 MEI_T2 SU_T4 JIAO_T1 NANG_T2
尿道损伤	NIAO_T4 DAO_T4 SUN_T3 SHANG_T1
白藤湖	BAI_T2 TENG_T2 HU_T2
蛋白激酶	DAN_T4 BAI_T2 JI_T1 MEI_T2
神经瘤	SHEN_T2 JING_T1 LIU_T2
胆道感染	DAN_T3 DAO_T4 GAN_T2 RAN_T3
喉气管炎	HOU_T2 QI_T4 GUAN_T3 YAN_T2
视锥细胞	SHI_T4 ZHUI_T1 XI_T4 BAO_T1
骨巨细胞瘤	GU_T3 JU_T4 XI_T4 BAO_T1 LIU_T2
跟腱炎	GEN_T1 JIAN_T4 YAN_T2
脱脂纱布	
钙化灶	GAI_T4 HUA_T4 ZAO_T4
前列腺特异抗原	QIAN_T2 LIE_T4 XIAN_T4 TE_T4 YI_T4 KANG_T4 YUAN_T2
菊芋	JU_T2 YU_T4
气海穴	
拟除虫菊酯类	
肾缺如	SHEN_T4 QUE_T1 RU_T2
半透膜	BAN_T4 TOU_T4 MO_T2
凹甲	
降糖宁胶囊	JIANG_T4 TANG_T2 NING_T2 JIAO_T1 NANG_T2
克林霉素磷酸酯	KE_T4 LIN_T2 MEI_T2 SU_T4 LIN_T2 SUAN_T1 ZHI_T3
显微注射	XIAN_T3 WEI_T1 ZHU_T4 SHE_T4
赤芝	CHI_T4 ZHI_T1
卵巢过度刺激综合征	
基因座	JI_T1 YIN_T1 ZUO_T4
感冒清热冲剂	GAN_T3 MAO_T4 QING_T1 RE_T4 CHONG_T1 JI_T4
脂肪肉瘤	ZHI_T1 FANG_T2 ROU_T4 LIU_T2
脂肪栓塞	ZHI_T1 FANG_T2 SHUAN_T1 SE_T4
制何首乌	ZHI_T4 HE_T2 SHOU_T3 WU_T1
珍菊降压片	ZHEN_T1 JU_T2 JIANG_T4 YA_T1 PIAN_T4
香丹注射液	XIANG_T1 DAN_T1 ZHU_T4 SHE_T4 YE_T4
免疫活性	
根尖周病	
卵巢炎	LUAN_T3 CHAO_T2 YAN_T2
土壤形成	TU_T3 RANG_T3 XING_T2 CHENG_T2
蝎毒	XIE_T1 DU_T2
致倦库蚊	ZHI_T4 JUAN_T4 KU_T4 WEN_T2
子宫动脉	ZI_T3 GONG_T1 DONG_T4 MAI_T4
鱼腥草注射液	YU_T2 XING_T1 CAO_T3 ZHU_T4 SHE_T4 YE_T4
卢煜明	LU_T2 YU_T4 MING_T2
细胞株	XI_T4 BAO_T1 ZHU_T1
下肢溃疡	
动态脑电图	DONG_T4 TAI_T4 NAO_T3 DIAN_T4 TU_T2
老视	LAO_T3 SHI_T4
家蝇	JIA_T1 YING_T2
顺铂	SHUN_T4 BO_T2
胶质母细胞瘤	JIAO_T1 ZHI_T4 MU_T3 XI_T4 BAO_T1 LIU_T2
腰大肌	YAO_T1 DA_T4 JI_T1
痄腮	ZHA_T4 SAI_T1
侧脑室	CE_T4 NAO_T3 SHI_T4
前哨淋巴结	
吉祥草	JI_T2 XIANG_T2 CAO_T3
安博维	AN_T1 BO_T2 WEI_T2
牙周袋	YA_T2 ZHOU_T1 DAI_T4
纤维腺瘤	XIAN_T1 WEI_T2 XIAN_T4 LIU_T2
注射给药	
甘遂	GAN_T1 SUI_T4
桑皮	SANG_T1 PI_T2
死区	SI_T3 QU_T1
温病条辨	WEN_T1 BING_T4 TIAO_T2 BIAN_T4
化脓性中耳炎	HUA_T4 NONG_T2 XING_T4 ZHONG_T1 ER_T3 YAN_T2
痛风性肾病	TONG_T4 FENG_T1 XING_T4 SHEN_T4 BING_T4
生脉饮	SHENG_T1 MAI_T4 YIN_T3
急性闭角型青光眼	JI_T2 XING_T4 BI_T4 JIAO_T3 XING_T2 QING_T1 GUANG_T1 YAN_T3
左旋多巴	ZUO_T3 XUAN_T2 DUO_T1 BA_T1
败酱草	BAI_T4 JIANG_T4 CAO_T3
单基因病	
慢波睡眠	MAN_T4 BO_T1 SHUI_T4 MIAN_T2
弱视训练	RUO_T4 SHI_T4 XUN_T4 LIAN_T4
咳特灵胶囊	KE_T2 TE_T4 LING_T2 JIAO_T1 NANG_T2
出血时间	CHU_T1 XUE_T4 SHI_T2 JIAN_T1
藿香正气软胶囊	HUO_T4 XIANG_T1 ZHENG_T4 QI_T4 RUAN_T3 JIAO_T1 NANG_T2
冷冻剂	LENG_T3 DONG_T4 JI_T4
生物安全柜	
总科	ZONG_T3 KE_T1
抗骨质增生丸	KANG_T4 GU_T3 ZHI_T4 ZENG_T1 SHENG_T1 WAN_T2
苦参碱	KU_T3 SHEN_T1 JIAN_T3
肺裂伤	
视网膜炎	SHI_T4 WANG_T3 MO_T2 YAN_T2
归脾丸	GUI_T1 PI_T2 WAN_T2
肝包虫病	GAN_T1 BAO_T1 CHONG_T2 BING_T4
白花蛇舌草	BAI_T2 HUA_T1 SHE_T2 SHE_T2 CAO_T3
树突	SHU_T4 TU_T1
水电解质紊乱	
足阳明胃经	ZU_T2 YANG_T2 MING_T2 WEI_T4 JING_T1
医古文	YI_T1 GU_T3 WEN_T2
木犀草苷	MU_T4 XI_T1 CAO_T3 GAN_T1
黄连上清丸	HUANG_T2 LIAN_T2 SHANG_T4 QING_T1 WAN_T2
林可胜	
真菌性角膜炎	ZHEN_T1 JUN_T1 XING_T4 JIAO_T3 MO_T2 YAN_T2
太溪	TAI_T4 XI_T1
细胞分裂素	
黑老虎	HEI_T1 LAO_T2 HU_T3
焦山楂	JIAO_T1 SHAN_T1 ZHA_T1
血塞通	XUE_T4 SE_T4 TONG_T1
阴囊湿疹	YIN_T1 NANG_T2 SHI_T1 ZHEN_T3
急性盆腔炎	JI_T2 XING_T4 PEN_T2 QIANG_T1 YAN_T2
白细胞介素	
阴道松弛	
免疫防御	MIAN_T3 YI_T4 FANG_T2 YU_T4
夏季皮炎	XIA_T4 JI_T4 PI_T2 YAN_T2
体外冲击波碎石	
角化过度	JIAO_T3 HUA_T4 GUO_T4 DU_T4
谷芽	GU_T3 YA_T2
异病同治	
刺毛	CI_T4 MAO_T2
仙灵脾	XIAN_T1 LING_T2 PI_T2
阴道分泌物检查	
阴道痉挛	YIN_T1 DAO_T4 JING_T4 LUAN_T2
手足皲裂	SHOU_T3 ZU_T2 JUN_T1 LIE_T4
多倍体	DUO_T1 BEI_T4 TI_T3
阴陵泉	YIN_T1 LING_T2 QUAN_T2
肺动脉瓣	FEI_T4 DONG_T4 MAI_T4 BAN_T4
放线菌	FANG_T4 XIAN_T4 JUN_T1
原癌基因	YUAN_T2 AI_T2 JI_T1 YIN_T1
牙医学	YA_T2 YI_T1 XUE_T2
碾压伤	
拔罐器	BA_T2 GUAN_T4 QI_T4
自溶	ZI_T4 RONG_T2
骨膜炎	GU_T3 MO_T2 YAN_T2
润燥化痰	
舟骨	ZHOU_T1 GU_T3
后阴	HOU_T4 YIN_T1
脉络宁	MAI_T4 LUO_T4 NING_T2
脐静脉	QI_T2 JING_T4 MAI_T4
肾实质	
西替利嗪	XI_T1 TI_T4 LI_T4 QIN_T2
高铁血红蛋白血症	GAO_T1 TIE_T3 XUE_T4 HONG_T2 DAN_T4 BAI_T2 XUE_T4 ZHENG_T4
胁痛	XIE_T2 TONG_T4
调和脾胃	
无极膏	WU_T2 JI_T2 GAO_T1
双盲实验	SHUANG_T1 MANG_T2 SHI_T2 YAN_T4
脂多糖	ZHI_T1 DUO_T1 TANG_T2
肺外结核	FEI_T4 WAI_T4 JIE_T2 HE_T2
噪声聋	
伐地那非	FA_T2 DI_T4 NA_T4 FEI_T1
刺五加注射液	CI_T4 WU_T3 JIA_T1 ZHU_T4 SHE_T4 YE_T4
猪链球菌病	ZHU_T1 LIAN_T4 QIU_T2 JUN_T1 BING_T4
单心室	DAN_T1 XIN_T1 SHI_T4
肾小球滤过率	
药物蓄积	
八珍汤	BA_T1 ZHEN_T1 TANG_T1
脂肪乳	ZHI_T1 FANG_T2 RU_T3
骨科学	GU_T3 KE_T1 XUE_T2
硼替佐米	PENG_T2 TI_T4 ZUO_T2 MI_T3
软下疳	RUAN_T3 XIA_T4 GAN_T1
蓝绿藻	
癣病	XUAN_T3 BING_T4
速效感冒胶囊	SU_T4 XIAO_T4 GAN_T3 MAO_T4 JIAO_T1 NANG_T2
错构瘤	CUO_T4 GOU_T4 LIU_T2
张涤生	
徐长卿	XU_T2 CHANG_T2 QING_T1
颌下腺	HE_T2 XIA_T4 XIAN_T4
参苓白术散	CAN_T1 LING_T2 BAI_T2 ZHU_T2 SAN_T3
足厥阴肝经	ZU_T2 JUE_T2 YIN_T1 GAN_T1 JING_T1
羊毛脂	YANG_T2 MAO_T2 ZHI_T1
睑裂	JIAN_T3 LIE_T4
酮症	TONG_T2 ZHENG_T4
输卵管积水	SHU_T1 LUAN_T2 GUAN_T3 JI_T1 SHUI_T3
张丽珠	ZHANG_T1 LI_T2 ZHU_T1
男性假两性畸形	
急性排斥反应	
带型	DAI_T4 XING_T2
结构蛋白	JIE_T2 GOU_T4 DAN_T4 BAI_T2
利他林	LI_T4 TA_T1 LIN_T2
食管穿孔	
动物分类学	
半枝莲	BAN_T4 ZHI_T1 LIAN_T2
群体遗传学	
转化酶	ZHUAN_T3 HUA_T4 MEI_T2
颅内压升高	LU_T2 NEI_T4 YA_T1 SHENG_T1 GAO_T1
橘络	JU_T2 LUO_T4
青风藤	QING_T1 FENG_T1 TENG_T2
关木通	GUAN_T1 MU_T4 TONG_T1
石棉肺	
吴鞠通	WU_T2 JU_T1 TONG_T1
瓷贴面	
首乌藤	SHOU_T3 WU_T1 TENG_T2
子宫内膜息肉	ZI_T3 GONG_T1 NEI_T4 MO_T2 XI_T1 ROU_T4
百病不生	
金匮	JIN_T1 GUI_T4
成都生物制品研究所	
嵌合体	QIAN_T4 HE_T2 TI_T3
扶他林	FU_T2 TA_T1 LIN_T2
体外寄生虫	TI_T3 WAI_T4 JI_T4 SHENG_T1 CHONG_T2
润通胶囊	RUN_T4 TONG_T1 JIAO_T1 NANG_T2
膝关节置换术	
单倍型	
右位心	YOU_T4 WEI_T4 XIN_T1
结舌	JIE_T2 SHE_T2
冠脉搭桥术	
跳痛	TIAO_T4 TONG_T4
抗雄激素	KANG_T4 XIONG_T2 JI_T1 SU_T4
肝气郁滞	GAN_T1 QI_T4 YU_T4 ZHI_T4
中心静脉导管	
乳酸脱氢酶	
梁定邦	
卵黄	LUAN_T3 HUANG_T2
模型材料	
神经胶质细胞	
心肾不交	XIN_T1 SHEN_T4 BU_T4 JIAO_T1
脂质体	ZHI_T1 ZHI_T4 TI_T3
分光计	FEN_T1 GUANG_T1 JI_T4
脱敏疗法	TUO_T1 MIN_T3 LIAO_T2 FA_T3
蛇胆川贝液	SHE_T2 DAN_T3 CHUAN_T1 BEI_T4 YE_T4
替硝唑	TI_T4 XIAO_T1 ZUO_T4
卵巢良性肿瘤	
离心管	LI_T2 XIN_T1 GUAN_T3
卵巢恶性肿瘤	LUAN_T3 CHAO_T2 E_T4 XING_T4 ZHONG_T3 LIU_T2
多西他赛	DUO_T1 XI_T1 TA_T1 SAI_T4
个虫	GE_T4 CHONG_T2
社区医学	SHE_T4 QU_T1 YI_T1 XUE_T2
石膏绷带	SHI_T2 GAO_T1 BENG_T1 DAI_T4
大豆磷脂	DA_T4 DOU_T4 LIN_T2 ZHI_T1
高原性心脏病	
白蚁巢	BAI_T2 YI_T3 CHAO_T2
天人关系	
肿瘤坏死因子	
琥珀胆碱	HU_T3 PO_T4 DAN_T2 JIAN_T3
藿香正气滴丸	HUO_T4 XIANG_T1 ZHENG_T4 QI_T4 DI_T1 WAN_T2
先天性梅毒	XIAN_T1 TIAN_T1 XING_T4 MEI_T2 DU_T2
武汉生物制品研究所	WU_T3 HAN_T4 SHENG_T1 WU_T4 ZHI_T4 PIN_T3 YAN_T2 JIU_T1 SUO_T3
怀牛膝	HUAI_T2 NIU_T2 XI_T1
乳腺囊肿	RU_T3 XIAN_T4 NANG_T2 ZHONG_T3
基因传递	
体内平衡	
脊索瘤	JI_T2 SUO_T3 LIU_T2
续断	XU_T4 DUAN_T4
不应期	BU_T2 YING_T4 QI_T1
四神聪	SI_T4 SHEN_T2 CONG_T1
麻疹减毒活疫苗	
溶血性黄疸	RONG_T2 XUE_T4 XING_T4 HUANG_T2 DAN_T3
跌打丸	DIE_T1 DA_T3 WAN_T2
重度精神发育迟滞	
二甲基甲酰胺	ER_T4 JIA_T3 JI_T1 JIA_T3 XIAN_T1 AN_T4
高耀洁	GAO_T1 YAO_T4 JIE_T2
小儿疳积	XIAO_T3 ER_T2 GAN_T1 JI_T1
促性腺激素释放激素	
爬行运动	PA_T2 XING_T2 YUN_T4 DONG_T4
肝郁调经膏	
冷却速度	
半规管	BAN_T4 GUI_T1 GUAN_T3
牙板	YA_T2 BAN_T3
计算机应用基础	
假性动脉瘤	JIA_T3 XING_T4 DONG_T4 MAI_T4 LIU_T2
养血调经	
